_CATEGORY_;_NAME_;_DESCRIPTION_;_IMAGE_;_IMAGES_;_ATTRIBUTES_;_DOWNLOADS_;_SKU_;_URL_
ITC | Dostec AC;Dostec AC3 piston;Dostec AC piston is a dosing pump with advanced control for an accurate and efficient automatic dosing. Depending on the chosen head allows most chemicals products used in water treatment, chemical industry, food and beverage and agriculture.;https://www.verderliquids.com/fileadmin/_processed_/5/a/csm_DOSTECAC-AC3-PISTON-PP_WEB_115657ebc9.jpg;https://www.verderliquids.com/fileadmin/_processed_/5/a/csm_DOSTECAC-AC3-PISTON-PP_WEB_115657ebc9.jpg;"Properties | Max. flow | 1200 l/h
Properties | Max. discharge pressure | 12 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.43kW(1.2 Hp). 230V
Properties | Weight | 24 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_AC_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_AC_INT_EN_Datasheet.pdf, ITC_Dostec_AC_EN_ES_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_AC_EN_ES_Brochure.pdf, ITC_Dostec_AC_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_INT_EN_Manual.pdf, ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf;dostec-ac3-piston;https://www.verderliquids.com/int/en/itc/dostec-ac/dostec-ac3-piston
ITC | Dostec;Dostec 40 diaphragm;The Dostec diaphragm pump showcases precision with its isolated dosing head, micrometric controller, and adjustable flow regulation, ensuring accurate liquid dosing in various applications.;https://www.verderliquids.com/fileadmin/_processed_/2/a/csm_DOSTEC40-membrana_cb5e1d04f7.png;https://www.verderliquids.com/fileadmin/_processed_/2/a/csm_DOSTEC40-membrana_cb5e1d04f7.png;"Properties | Max. flow | 342 l/h
Properties | Max. discharge pressure | 16 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.37 kW
Properties | Weight | 10 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_40_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_40_INT_EN_Datasheet.pdf, ITC_Dostec_EN_ES_FR_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_EN_ES_FR_Brochure.pdf, ITC_Dostec_40_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_40_INT_EN_Manual.pdf;dostec-40-diaphragm;https://www.verderliquids.com/int/en/itc/dostec/dostec-40-diaphragm
ITC | Dostec;Dostec 40 piston;The Dostec piston pump showcases precision with its isolated dosing head, micrometric controller, and adjustable flow regulation, ensuring accurate liquid dosing in various applications.;https://www.verderliquids.com/fileadmin/_processed_/2/5/csm_dostec40-trans-piston_f426737841.png;https://www.verderliquids.com/fileadmin/_processed_/2/5/csm_dostec40-trans-piston_f426737841.png;"Properties | Max. flow | 600 l/h
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.37 kW
Properties | Weight | 15 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_40_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_40_INT_EN_Datasheet.pdf, ITC_Dostec_EN_ES_FR_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_EN_ES_FR_Brochure.pdf, ITC_Dostec_40_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_40_INT_EN_Manual.pdf;dostec-40-piston;https://www.verderliquids.com/int/en/itc/dostec/dostec-40-piston
ITC | Dostec;Dostec 50 diaphragm;The Dostec diaphragm pump showcases precision with its isolated dosing head, micrometric controller, and adjustable flow regulation, ensuring accurate liquid dosing in various applications.;https://www.verderliquids.com/fileadmin/_processed_/f/6/csm_dostec50membrana_f40754f165.png;https://www.verderliquids.com/fileadmin/_processed_/f/6/csm_dostec50membrana_f40754f165.png;"Properties | Max. flow | 1254 l/h
Properties | Max. discharge pressure | 10 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.74 kW
Properties | Weight | 21 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_50_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_50_INT_EN_Datasheet.pdf, ITC_Dostec_EN_ES_FR_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_EN_ES_FR_Brochure.pdf, ITC_Dostec_50_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_50_INT_EN_Manual.pdf;dostec-50-diaphragm;https://www.verderliquids.com/int/en/itc/dostec/dostec-50-diaphragm
ITC | Dostec;Dostec 50 piston;The Dostec piston pump showcases precision with its isolated dosing head, micrometric controller, and adjustable flow regulation, ensuring accurate liquid dosing in various applications.;https://www.verderliquids.com/fileadmin/_processed_/a/e/csm_dostec50-trans-piston_f5f4b5758f.png;https://www.verderliquids.com/fileadmin/_processed_/a/e/csm_dostec50-trans-piston_f5f4b5758f.png;"Properties | Max. flow | 1200 l/h
Properties | Max. discharge pressure | 12 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.74 kW
Properties | Weight | 21 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_50_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_50_INT_EN_Datasheet.pdf, ITC_Dostec_EN_ES_FR_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_EN_ES_FR_Brochure.pdf, ITC_Dostec_50_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_50_INT_EN_Manual.pdf;dostec-50-piston;https://www.verderliquids.com/int/en/itc/dostec/dostec-50-piston
ITC | Dostec;Dostec 40 12/24VDC diaphragm;The Dostec diaphragm pump showcases precision with its isolated dosing head, micrometric controller, and adjustable flow regulation, ensuring accurate liquid dosing in various applications.;https://www.verderliquids.com/fileadmin/_processed_/1/5/csm_Dostec40-12V-membrana_01f906bf24.jpg;https://www.verderliquids.com/fileadmin/_processed_/1/5/csm_Dostec40-12V-membrana_01f906bf24.jpg;"Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 130 / 300 W
Properties | Weight | Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_40_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_40_INT_EN_Datasheet.pdf, ITC_Dostec_EN_ES_FR_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_EN_ES_FR_Brochure.pdf, ITC_Dostec_40_1224Vdc_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_40_1224Vdc_INT_EN_Manual.pdf;24vdc-diaphragm;https://www.verderliquids.com/int/en/itc/dostec/dostec-40-12/24vdc-diaphragm
ITC | Dostec;Dostec 40 12/24VDC piston;The Dostec piston pump showcases precision with its isolated dosing head, micrometric controller, and adjustable flow regulation, ensuring accurate liquid dosing in various applications.;https://www.verderliquids.com/fileadmin/_processed_/3/3/csm_Dostec40-12V-pisto_ccc9f7549b.jpg;https://www.verderliquids.com/fileadmin/_processed_/3/3/csm_Dostec40-12V-pisto_ccc9f7549b.jpg;"Properties | Max. flow | 355 l/h
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 130 / 300 W
Properties | Weight | 10 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_40_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_40_INT_EN_Datasheet.pdf, ITC_Dostec_EN_ES_FR_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_EN_ES_FR_Brochure.pdf, ITC_Dostec_40_1224Vdc_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_40_1224Vdc_INT_EN_Manual.pdf;24vdc-piston;https://www.verderliquids.com/int/en/itc/dostec/dostec-40-12/24vdc-piston
ITC | EFR;EFR diaphragm;The EFR diaphragm a is metering pump with high suction capacity, high accuracy, stroke regulation with minimum flow pulsation and heavy-duty mechanism for continuous operation for dosing liquid products.;https://www.verderliquids.com/fileadmin/_processed_/d/5/csm_EFR-memb_c2065c397d.png;https://www.verderliquids.com/fileadmin/_processed_/d/5/csm_EFR-memb_c2065c397d.png;"Properties | Max. flow | 1600 l/h
Properties | Max. discharge pressure | 12 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 1.5 kW
Properties | Weight | 48 Kg
Properties | Max. temperature | 45 °C";ITC_EFR_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_EFR_INT_EN_Datasheet.pdf, ITC_EFR_EN_ES_FR_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_EFR_EN_ES_FR_Brochure.pdf, ITC_EFR_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_EFR_INT_EN_Manual.pdf;efr-diaphragm;https://www.verderliquids.com/int/en/itc/efr/efr-diaphragm
ITC | EFR;EFR piston;The EFR piston is a metering pump with high suction capacity, high accuracy, stroke regulation with minimum flow pulsation and heavy-duty mechanism for continuous operation for dosing liquid products.;https://www.verderliquids.com/fileadmin/_processed_/2/c/csm_EFR_pisto_e624e3be28.png;https://www.verderliquids.com/fileadmin/_processed_/2/c/csm_EFR_pisto_e624e3be28.png;"Properties | Max. flow | 1600 l/h
Properties | Max. discharge pressure | 12 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 1.5 kW
Properties | Weight | 48 Kg
Properties | Max. temperature | 45 °C";ITC_EFR_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_EFR_INT_EN_Datasheet.pdf, ITC_EFR_EN_ES_FR_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_EFR_EN_ES_FR_Brochure.pdf, ITC_EFR_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_EFR_INT_EN_Manual.pdf;efr-piston;https://www.verderliquids.com/int/en/itc/efr/efr-piston
ITC | EFR;EFR diaphragm duplex;The EFR diaphragm duplex is a two heads metering pump with high suction capacity, high accuracy, stroke regulation with minimum flow pulsation and heavy-duty mechanism for continuous operation for dosing liquid products.;https://www.verderliquids.com/fileadmin/_processed_/7/1/csm_EFR_duplex_memb_c6d056e960.png;https://www.verderliquids.com/fileadmin/_processed_/7/1/csm_EFR_duplex_memb_c6d056e960.png;"Properties | Max. flow | 2508 l/h
Properties | Max. discharge pressure | 10 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 1.5 kW
Properties | Weight | 75 Kg
Properties | Max. temperature | 45 °C";ITC_EFR_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_EFR_INT_EN_Datasheet.pdf, ITC_EFR_EN_ES_FR_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_EFR_EN_ES_FR_Brochure.pdf, ITC_EFR_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_EFR_INT_EN_Manual.pdf;efr-diaphragm-duplex;https://www.verderliquids.com/int/en/itc/efr/efr-diaphragm-duplex
